song_name,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence,song_popularity
1561,262333,0,0,0,0,8,0,-4,1,0,167,4,0,73
5541,216933,0,0,0,0,3,0,-6,0,0,105,4,0,66
9638,231733,0,0,0,0,0,0,-7,1,0,123,4,0,76
1760,216933,0,0,0,0,0,0,-4,1,0,122,4,0,74
4988,223826,0,0,0,0,10,0,-5,1,0,172,4,0,56
1647,235893,0,0,0,0,4,0,-3,0,0,189,4,0,80
6225,199893,0,0,0,0,4,0,-3,0,0,90,4,0,81
740,213800,0,0,0,0,2,0,-3,1,0,105,4,0,76
7451,222586,0,0,0,0,1,0,-3,1,0,148,4,0,80
9650,203346,0,0,0,0,9,0,-5,1,0,153,4,0,81
11061,168253,0,0,0,0,2,0,-3,1,0,161,4,0,78
7997,185586,0,0,0,0,9,0,-4,1,0,110,4,0,63
10011,209266,0,0,0,0,9,0,-4,0,0,126,4,0,75
1887,269000,0,0,0,0,9,0,-3,1,0,91,4,0,81
2116,210240,0,0,0,0,7,0,-3,0,0,127,4,0,69
10692,237026,0,0,0,0,9,0,-8,1,0,104,4,0,77
5219,227240,0,0,0,0,11,0,-6,1,0,110,4,0,71
1232,256600,0,0,0,0,1,0,-4,0,0,130,4,0,62
5331,187613,0,0,0,0,9,0,-4,0,0,170,4,0,77
6045,233933,0,0,0,0,11,0,-5,0,0,99,4,0,79
11033,231533,0,0,0,0,4,0,-3,0,0,183,3,0,69
11787,230760,0,0,0,0,0,0,-5,1,0,137,4,0,79
7843,255066,0,0,0,0,0,0,-5,1,0,170,4,0,13
5762,195666,0,0,0,0,8,0,-2,0,0,134,4,0,62
11776,304840,0,0,0,0,2,0,-4,1,0,128,4,0,77
4766,232533,0,0,0,0,2,0,-10,1,0,103,4,0,79
1461,303920,0,0,0,0,3,0,-4,0,0,157,4,0,28
604,176346,0,0,0,0,1,0,-2,1,0,186,4,0,78
12158,311106,0,0,0,0,2,0,-4,1,0,96,4,0,77
4248,213106,0,0,0,0,4,0,-6,1,0,99,4,0,71
497,262733,0,0,0,0,5,0,-5,1,0,167,4,0,11
6460,293960,0,0,0,0,7,0,-5,0,0,107,4,0,77
5689,264706,0,0,0,0,6,0,-4,1,0,116,4,0,65
5160,231480,0,0,0,0,6,0,-5,0,0,89,4,0,75
9252,213760,0,0,0,0,9,0,-3,1,0,96,4,0,74
3683,178266,0,0,0,0,9,0,-5,1,0,98,4,0,74
11104,269373,0,0,0,0,9,0,-4,1,0,172,4,0,11
9490,242280,0,0,0,0,5,0,-3,0,0,112,4,0,73
1472,201960,0,0,0,0,4,0,-3,0,0,130,4,0,74
10463,229093,0,0,0,0,7,0,-4,1,0,161,4,0,79
6224,193373,0,0,0,0,0,0,-5,1,0,104,4,0,70
11329,282946,0,0,0,0,3,0,-4,0,0,105,4,0,60
10947,200546,0,0,0,0,10,0,-4,0,0,167,4,0,69
3072,279213,0,0,0,0,3,0,-4,0,0,89,4,0,73
12463,212733,0,0,0,0,9,0,-7,1,0,169,4,0,62
12820,256240,0,0,0,0,8,0,-7,1,0,97,4,0,72
